bidder_id,company_name,gstin,pan,udyam_number,cin,registered_state,msme_category,tender_category,bid_id,profile_tag,reference_compliance_score,reference_risk_level
BID-00134,Silver Solutions,01VCFNC2316S1Z3,OOTTO6741Z,UDYAM-UP-06-7737011,U76151DL2015PTC789472,UP,Medium,Goods,GEM/2026/B/7917972,MINOR_ISSUES,85,LOW
BID-00135,Vishnu Engineering,07JOTJL9002A1Z9,DXAZF3798R,UDYAM-RJ-17-3595683,U22358DL2006PTC582732,RJ,Micro,Works,GEM/2026/B/7158628,CLEAN,100,LOW
BID-00136,Metro Traders,10KXTSU1865D1Z5,AVJUX3849D,UDYAM-HR-25-4803691,U95561DL2005PTC764678,HR,Small,Services,GEM/2026/B/6113416,CLEAN,100,LOW
BID-00137,Vishnu Textiles,01SDRZZ7504Z1Z7,DIMTO2346Y,UDYAM-UP-05-9068540,U83308DL2011PTC611559,UP,Medium,Goods,GEM/2026/B/9795418,CLEAN,100,LOW
BID-00138,Bharat Solutions,04OCKJE3671L1Z8,QLYGR1707H,UDYAM-KA-20-3477610,U47707DL2005PTC459946,KA,Small,Services,GEM/2026/B/4554677,MINOR_ISSUES,92,LOW
BID-00139,Modern Solutions,09ZSRJX5202W1Z5,BRAKH8680U,UDYAM-PB-13-4878365,U59899DL2021PTC844162,PB,Medium,Services,GEM/2026/B/9918107,CLEAN,100,LOW
BID-00140,Apex Textiles,03AGNIK1336H1Z9,HBGKZ9992K,UDYAM-DL-13-3302852,U21507DL2017PTC646012,DL,Small,Works,GEM/2026/B/6524481,MAJOR_ISSUES,28,HIGH
BID-00141,Sunrise Traders,09RFDRX9497U1Z3,IOYDI8778N,UDYAM-PB-14-6089336,U68065DL2013PTC259338,PB,Medium,Goods,GEM/2026/B/4099531,CLEAN,100,LOW
BID-00142,Silver Solutions,10PGACU1846F1Z7,MDFAT0247G,UDYAM-HR-25-4431982,U18668DL2010PTC560623,HR,Medium,Works,GEM/2026/B/8676330,CLEAN,100,LOW
BID-00143,Om Corp,04JIPTP5875O1Z8,VBZNK7556B,UDYAM-KA-07-5885179,U67613DL2017PTC419348,KA,Micro,Works,GEM/2026/B/8777564,MINOR_ISSUES,68,MEDIUM
BID-00144,Bharat Textiles,08YSDKL1572O1Z2,GRXUS1143Q,UDYAM-WB-23-7443916,U77065DL2010PTC497073,WB,Micro,Goods,GEM/2026/B/3426109,MINOR_ISSUES,82,LOW
BID-00145,Om Solutions,01LQDDF6248R1Z1,PMFRL4608I,UDYAM-UP-20-4483580,U16411DL2010PTC255457,UP,Small,Works,GEM/2026/B/2471406,MINOR_ISSUES,85,LOW
BID-00146,Om Industries,02RSOOZ7307K1Z6,XVTVB4183N,UDYAM-MH-17-4520621,U37400DL2006PTC214611,MH,Micro,Works,GEM/2026/B/9874251,CLEAN,100,LOW
BID-00147,Silver Solutions,08GOQYP4748T1Z4,SZAAQ1879N,UDYAM-WB-02-6600104,U55829DL2022PTC945197,WB,Small,Works,GEM/2026/B/6037929,MINOR_ISSUES,92,LOW
BID-00148,Vishnu Pvt Ltd,09KOYVF8944B1Z3,MQXNI7478J,UDYAM-PB-19-6293259,U82768DL2022PTC119627,PB,Micro,Works,GEM/2026/B/6932348,CLEAN,100,LOW
BID-00149,Unity Pvt Ltd,03VOKPW7730N1Z2,MGLYF3177C,UDYAM-DL-15-9489182,U13268DL2020PTC624344,DL,Small,Services,GEM/2026/B/9785019,CLEAN,100,LOW
BID-00150,Sunrise Enterprises,06FAKWD3088K1Z8,XCTTA7622J,UDYAM-GJ-09-9930106,U51831DL2019PTC803724,GJ,Medium,Works,GEM/2026/B/4465793,BLACKLISTED,30,HIGH
